,coef,p_value,ci_low,ci_high,odds_ratio,or_ci_low,or_ci_high
Kills_pm,5.29396641520671,0.002660024586922213,1.8405055782488278,8.747427252164591,199.1317000669129,6.299722458677054,6294.473166341075
InhibitorKills_pm,2.4626620399079457,0.008284900510161978,0.6345170997761982,4.290806980039694,11.736011725059281,1.8861111180287211,73.0253747481656
TurretKills_pm,2.014872362213059,0.024383074855670938,0.26053693263527844,3.7692077917908398,7.499770066055671,1.2976266377387442,43.345712401311694
DamageDealt_pm,-1.9746096867552527,0.040202333488351664,-3.8609633889489157,-0.08825598456159,0.13881548319211395,0.02104771261878391,0.9155264860782495
Assists_pm,1.042906140244273,0.041287163321581076,0.04122827789953187,2.044584002589014,2.837451074648584,1.0420899645036952,7.725943896656587
Gold_pm,-3.4480991933804113,0.051650231931228904,-6.920874070202956,0.02467568344213289,0.03180603607972913,0.0009869668850551088,1.024982647769935
Deaths_pm,-1.0592768096506766,0.13081432130750648,-2.43338926049746,0.31483564119610663,0.34670645444933523,0.08773895789597616,1.3700341152825768
WardsPlaced_pm,-1.0768390969659443,0.19652193403241025,-2.7110056744224336,0.557327480490545,0.3406706524629524,0.06646992598610918,1.7460000402856934
VisionScore_pm,0.9062671155621491,0.27683809152007055,-0.7271425156222124,2.539676746746511,2.4750661317487026,0.4832880068219536,12.675572888334319
WardsKilled_pm,-0.44161562296071016,0.36646810412377406,-1.4000279714323667,0.5167967255109465,0.6429967411452465,0.24659006636777572,1.6766482738472388
CS_pm,0.414095808858684,0.5360246314114688,-0.8974202066370113,1.7256118243543792,1.513002078942808,0.40761987954296486,5.615955957427661
DamageTaken_pm,0.21645784293320336,0.7358958649329174,-1.0413485472943833,1.47426423316079,1.2416707390541677,0.35297835285208845,4.3678208926012365
