metric,coef,odds_ratio,or_ci_low,or_ci_high,p_raw,p_fdr,sig_fdr
Kills_pm,1.7824699485109703,5.94452096150021,2.8152318903174507,12.552191378355932,2.9517571409875233e-06,1.771054284592514e-05,True
Deaths_pm,-1.3362945177668757,0.2628177329243973,0.14260333602530806,0.4843726848526271,1.8372792699937425e-05,5.511837809981228e-05,True
Assists_pm,0.7488912817555051,2.1146541607575577,1.304861590290225,3.427001187623777,0.0023640697043273034,0.00446373575094504,True
CS_pm,0.24894411110866016,1.282670344043037,0.8495719545938069,1.9365554648918444,0.2362662154831472,0.30009151695350356,False
Gold_pm,1.487777620323133,4.427245557329291,2.299141341780504,8.525140611717633,8.57702020352917e-06,3.430808081411668e-05,True
DamageDealt_pm,0.9335708926942513,2.5435758162863498,1.514606861457923,4.271588950131339,0.00041628610485284774,0.0009990866516468345,True
DamageTaken_pm,0.11865886083148032,1.1259857349247049,0.7537283055600523,1.682096673166421,0.5623087798433373,0.5623087798433373,False
VisionScore_pm,0.23619544603957718,1.266421803106186,0.8442198354887648,1.8997707895055345,0.25364840182878556,0.30009151695350356,False
WardsPlaced_pm,0.24481344260247673,1.277382985729243,0.8540204144502325,1.9106186042179698,0.23334881927721185,0.30009151695350356,False
WardsKilled_pm,-0.2227791023457581,0.8002916123104364,0.5364184944259675,1.193968275496941,0.2750838905407116,0.30009151695350356,False
TurretKills_pm,1.8513910261324424,6.368672353587527,2.949522289427866,13.751375160896892,2.427944179822323e-06,1.771054284592514e-05,True
InhibitorKills_pm,1.617358427376768,5.03975982600195,1.758683746336947,14.44215263641662,0.0026038458547179397,0.00446373575094504,True
