metric,r_pb,p_raw,p_fdr,sig_fdr
Kills_pm,0.5321376616701077,1.213916225870969e-08,7.283497355225815e-08,True
Deaths_pm,-0.4823953169240501,3.729494334649936e-07,1.1188483003949809e-06,True
Assists_pm,0.31829304857766244,0.0012497331791000174,0.00214239973560003,True
CS_pm,0.11921764718050797,0.23744123456782731,0.3010621690361732,False
Gold_pm,0.5159996914616155,3.9175131007820546e-08,1.5670052403128219e-07,True
DamageDealt_pm,0.37589768570569493,0.00011617481018082047,0.00023234962036164093,True
DamageTaken_pm,0.05804759614037272,0.5661965573985583,0.5661965573985583,False
VisionScore_pm,0.11487258151614083,0.2550973290761944,0.3010621690361732,False
WardsPlaced_pm,0.12019110367825989,0.2336050943383059,0.3010621690361732,False
WardsKilled_pm,-0.10999282207555423,0.27597365494982545,0.3010621690361732,False
TurretKills_pm,0.5422327154363714,5.650606225528712e-09,6.780727470634454e-08,True
InhibitorKills_pm,0.436178378231726,5.7258844895376496e-06,1.3742122774890359e-05,True
